time	V(v_10)	V(v_20)	V(v_30)	V(v_40)	V(v_s)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
4.163001803230101e-005	3.121980e-002	2.081501e-002	1.041022e-002	5.422377e-006	4.163002e-002
8.326003606460203e-005	6.243420e-002	4.163002e-002	2.082583e-002	2.165331e-005	8.326003e-002
1.248900540969030e-004	9.364320e-002	6.244503e-002	3.124686e-002	4.869281e-005	1.248901e-001
1.665200721292041e-004	1.248468e-001	8.326003e-002	4.167329e-002	8.654086e-005	1.665201e-001
2.081500901615051e-004	1.560450e-001	1.040750e-001	5.210512e-002	1.351975e-004	2.081501e-001
2.497801081938061e-004	1.872377e-001	1.248901e-001	6.254236e-002	1.946626e-004	2.497801e-001
2.914101262261070e-004	2.184251e-001	1.457051e-001	7.298500e-002	2.649364e-004	2.914101e-001
5.827530542078643e-004	4.365657e-001	2.913765e-001	1.461874e-001	9.982127e-004	5.827531e-001
1.000000000000000e-003	7.487540e-001	4.999994e-001	2.512451e-001	2.491268e-003	1.000000e+000
4.613352218850807e-003	7.399551e-001	4.999997e-001	2.600444e-001	2.008934e-002	1.000000e+000
8.226704437701612e-003	7.314423e-001	4.999999e-001	2.685575e-001	3.711518e-002	1.000000e+000
1.184005665655242e-002	7.232156e-001	5.000000e-001	2.767844e-001	5.356877e-002	1.000000e+000
1.545340887540323e-002	7.152750e-001	5.000001e-001	2.847252e-001	6.945011e-002	1.000000e+000
1.906676109425403e-002	7.076205e-001	5.000001e-001	2.923797e-001	8.475921e-002	1.000000e+000
2.268011331310484e-002	7.002520e-001	5.000001e-001	2.997481e-001	9.949607e-002	1.000000e+000
2.629346553195564e-002	6.931697e-001	5.000000e-001	3.068303e-001	1.136607e-001	1.000000e+000
3.386489410338422e-002	6.792530e-001	5.000000e-001	3.207470e-001	1.414941e-001	1.000000e+000
4.143632267481280e-002	6.661917e-001	5.000000e-001	3.338083e-001	1.676166e-001	1.000000e+000
4.900775124624138e-002	6.539859e-001	5.000000e-001	3.460141e-001	1.920282e-001	1.000000e+000
5.657917981766996e-002	6.426355e-001	5.000000e-001	3.573645e-001	2.147289e-001	1.000000e+000
6.415060838909854e-002	6.321406e-001	5.000000e-001	3.678594e-001	2.357187e-001	1.000000e+000
7.172203696052712e-002	6.225012e-001	5.000000e-001	3.774988e-001	2.549977e-001	1.000000e+000
7.929346553195568e-002	6.137171e-001	5.000000e-001	3.862829e-001	2.725657e-001	1.000000e+000
9.143632267481285e-002	6.010763e-001	5.000000e-001	3.989237e-001	2.978474e-001	1.000000e+000
1.035791798176700e-001	5.895504e-001	5.000000e-001	4.104496e-001	3.208992e-001	1.000000e+000
1.157220369605272e-001	5.791394e-001	5.000000e-001	4.208606e-001	3.417212e-001	1.000000e+000
1.278648941033843e-001	5.698434e-001	5.000000e-001	4.301567e-001	3.603133e-001	1.000000e+000
1.400077512462415e-001	5.616622e-001	5.000000e-001	4.383378e-001	3.766756e-001	1.000000e+000
1.521506083890986e-001	5.545960e-001	5.000000e-001	4.454039e-001	3.908079e-001	1.000000e+000
1.642934655319558e-001	5.486448e-001	5.000000e-001	4.513552e-001	4.027104e-001	1.000000e+000
1.695372561702478e-001	5.461789e-001	5.000000e-001	4.538211e-001	4.076422e-001	1.000000e+000
1.747810468085398e-001	5.438245e-001	5.000000e-001	4.561755e-001	4.123510e-001	1.000000e+000
1.800248374468319e-001	5.415815e-001	5.000000e-001	4.584185e-001	4.168370e-001	1.000000e+000
1.852686280851239e-001	5.394500e-001	5.000000e-001	4.605500e-001	4.211000e-001	1.000000e+000
1.905124187234160e-001	5.374299e-001	5.000000e-001	4.625700e-001	4.251401e-001	1.000000e+000
1.957562093617080e-001	5.355213e-001	5.000000e-001	4.644786e-001	4.289573e-001	1.000000e+000
2.010000000000000e-001	5.337242e-001	5.000000e-001	4.662758e-001	4.325516e-001	1.000000e+000
2.016000000000000e-001	8.405906e-002	2.000000e-001	3.159409e-001	4.318819e-001	4.000000e-001
2.020000000000000e-001	-2.153525e-001	-2.496994e-011	2.153525e-001	4.307050e-001	0.000000e+000
2.100342857142857e-001	-1.989427e-001	-1.373752e-011	1.989427e-001	3.978853e-001	0.000000e+000
2.180685714285715e-001	-1.835903e-001	-5.060241e-012	1.835903e-001	3.671807e-001	0.000000e+000
2.261028571428572e-001	-1.692955e-001	1.061902e-012	1.692955e-001	3.385910e-001	0.000000e+000
2.341371428571429e-001	-1.560582e-001	4.628906e-012	1.560582e-001	3.121164e-001	0.000000e+000
2.421714285714287e-001	-1.438784e-001	5.640772e-012	1.438784e-001	2.877568e-001	0.000000e+000
2.502057142857144e-001	-1.327561e-001	4.097498e-012	1.327561e-001	2.655122e-001	0.000000e+000
2.582400000000001e-001	-1.226913e-001	-9.141993e-016	1.226913e-001	2.453826e-001	0.000000e+000
2.592400000000001e-001	-1.214700e-001	-6.210310e-016	1.214700e-001	2.429401e-001	0.000000e+000
2.683828571428573e-001	-1.110296e-001	-3.435966e-016	1.110296e-001	2.220593e-001	0.000000e+000
2.775257142857144e-001	-1.013343e-001	-1.291500e-016	1.013343e-001	2.026686e-001	0.000000e+000
2.866685714285716e-001	-9.238402e-002	2.230877e-017	9.238402e-002	1.847680e-001	0.000000e+000
2.958114285714287e-001	-8.417880e-002	1.107797e-016	8.417880e-002	1.683576e-001	0.000000e+000
